lptid,lottery_name,picks,matches,bonus,win
NULL,lotto_keno,1,1,0,2
NULL,lotto_keno,2,2,0,10
NULL,lotto_keno,3,3,0,20
NULL,lotto_keno,3,2,0,2
NULL,lotto_keno,4,4,0,50
NULL,lotto_keno,4,3,0,5
NULL,lotto_keno,4,2,0,1
NULL,lotto_keno,5,5,0,500
NULL,lotto_keno,5,4,0,15
NULL,lotto_keno,5,3,0,2
NULL,lotto_keno,6,6,0,1500
NULL,lotto_keno,6,5,0,50
NULL,lotto_keno,6,4,0,5
NULL,lotto_keno,6,3,0,1
NULL,lotto_keno,7,7,0,5000
NULL,lotto_keno,7,6,0,150
NULL,lotto_keno,7,5,0,15
NULL,lotto_keno,7,4,0,2
NULL,lotto_keno,7,3,0,1
NULL,lotto_keno,8,8,0,10000
NULL,lotto_keno,8,7,0,400
NULL,lotto_keno,8,6,0,50
NULL,lotto_keno,8,5,0,10
NULL,lotto_keno,8,4,0,2
NULL,lotto_keno,9,9,0,25000
NULL,lotto_keno,9,8,0,2500
NULL,lotto_keno,9,7,0,200
NULL,lotto_keno,9,6,0,25
NULL,lotto_keno,9,5,0,4
NULL,lotto_keno,9,4,0,1
NULL,lotto_keno,10,10,0,100000
NULL,lotto_keno,10,9,0,10000
NULL,lotto_keno,10,8,0,500
NULL,lotto_keno,10,7,0,50
NULL,lotto_keno,10,6,0,10
NULL,lotto_keno,10,5,0,3
NULL,lotto_keno,10,0,0,3
